id,cpu,memoria,time,prioridad
1,6,7,25,Baja
2,2,5,37,Media
3,6,15,44,Media
4,1,11,5,Media
5,3,13,6,Alta
6,8,8,12,Media
7,1,15,101,Baja
8,8,14,101,Baja
9,5,11,76,Alta
10,5,9,68,Alta
11,2,4,111,Alta
12,6,5,54,Media
13,3,4,31,Media
14,3,8,79,Baja
15,4,9,45,Alta
16,7,6,21,Media
17,3,15,97,Media
18,5,15,20,Media
19,8,8,68,Alta
20,6,9,61,Baja
21,5,8,74,Baja
22,7,7,110,Media
23,1,4,30,Baja
24,2,9,27,Baja
25,3,12,79,Alta
26,1,13,79,Baja
27,4,3,46,Media
28,5,3,37,Baja
29,5,2,43,Alta
30,3,15,95,Baja
31,4,9,45,Baja
32,4,5,45,Baja
33,5,13,108,Alta
34,4,4,113,Baja
35,8,14,116,Media
36,2,5,92,Baja
37,8,7,89,Alta
38,3,8,39,Alta
39,2,16,98,Baja
40,2,2,8,Media
41,3,3,65,Media
42,4,12,70,Media
43,5,12,16,Media
44,4,6,65,Media
45,2,16,30,Baja
46,5,3,98,Media
47,4,5,90,Media
48,8,15,7,Media
49,7,12,33,Media
50,1,5,73,Baja
